chunk_id,insurer_id,document_id,page_start,old_synthetic_type,old_synthetic_method,old_amount_method,needs_synthetic_type,needs_synthetic_method,needs_amount_method,skip_reason
11095,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11096,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11097,7,18,1,,split_line_v1,v1.6.3_split,True,True,True,
11098,7,18,5,,split_line_v1,v1.6.3_split,True,True,True,
11099,7,18,6,,split_line_v1,v1.6.3_split,True,True,True,
11100,7,18,6,,split_line_v1,v1.6.3_split,True,True,True,
11101,7,18,6,,split_line_v1,v1.6.3_split,True,True,True,
11102,7,18,6,,split_line_v1,v1.6.3_split,True,True,True,
11103,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11104,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11105,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11106,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11107,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11108,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11109,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11110,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11111,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11112,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11113,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11114,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11115,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11116,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11117,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11118,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11119,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11120,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11121,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11122,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11123,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11124,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11125,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11126,3,10,1,,split_line_v1,v1.6.3_split,True,True,True,
11127,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11128,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11129,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11130,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11131,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11132,3,10,4,,split_line_v1,v1.6.3_split,True,True,True,
11133,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11134,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11135,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11136,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11137,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11138,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11139,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11140,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11141,3,10,8,,split_line_v1,v1.6.3_split,True,True,True,
11142,3,10,9,,split_line_v1,v1.6.3_split,True,True,True,
11143,3,10,9,,split_line_v1,v1.6.3_split,True,True,True,
11144,3,10,9,,split_line_v1,v1.6.3_split,True,True,True,
11145,3,10,9,,split_line_v1,v1.6.3_split,True,True,True,
11146,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11147,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11148,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11149,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11150,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11151,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
11152,3,11,1,,split_line_v1,v1.6.3_split,True,True,True,
